,AAPL,MSFT,JNJ,UNH,JPM,GS,XOM,CVX,AMZN,HD,PG,CAT,HON,NEE,META,TLT,GLD,UUP
AAPL,0.029462899589930404,0.02293354168928483,0.004999509098219025,-0.004198906705681567,0.012272766206298212,0.014866192939415436,0.0009358907001962264,0.006091951259332928,0.026682390432094426,0.013433933820534372,0.004036448385674165,0.01114216561239856,0.014702915855589601,0.009446028173069705,0.018395034350222838,0.004121304947171297,0.010424839306649905,-0.003149535807519385
MSFT,0.02293354168928483,0.04269522174949074,0.002244225599878274,-0.02466788021268453,0.019699196885792043,0.025000126569633498,0.0007949311135416207,0.009731036861069903,0.04787205141921137,0.014758044554141165,0.005164182154913799,0.01991736252199044,0.018897504709099837,0.0031583542763392266,0.03418006628297344,0.005453687430552951,0.011043461232440727,-0.0024706000080379773
JNJ,0.004999509098219025,0.002244225599878274,0.020673850097730703,0.015483752831276341,0.008945466224736532,0.006744045374554388,0.009629772241881948,0.013073530674670346,-0.0059713238301509096,0.014799485546579684,0.006633543086839989,0.009692501535578045,-0.0023727800656139267,0.012928830296237006,-0.00320406120455958,0.002995688033704794,0.0009674604578941912,-0.0018439587318827741
UNH,-0.004198906705681567,-0.02466788021268453,0.015483752831276341,0.1381467940428535,-0.0033192155590972515,0.0015529928363210523,0.013695077259412372,0.027293390724827633,-0.03787416895515473,0.007150059939206498,0.0013999555223355945,0.018034880125069753,-0.00297650630514986,0.011175473791950778,-0.025699609522410925,0.0018854182233913632,-0.004852908338942033,0.0018004134560979704
JPM,0.012272766206298212,0.019699196885792043,0.008945466224736532,-0.0033192155590972515,0.05707316367009465,0.05993821546171888,0.010938167130195684,0.017762903873558465,0.0320211165869722,0.01747539859366346,0.002703329439244171,0.03808823770773212,0.02387466233760012,0.009160236110257588,0.01067057156938658,-6.876112261247852e-05,0.004276431488420074,-0.0010156021367417104
GS,0.014866192939415436,0.025000126569633498,0.006744045374554388,0.0015529928363210523,0.05993821546171888,0.07705268690984614,0.01326739272111509,0.022061354462106688,0.04192648040636644,0.024473112236803356,-4.3104471723679574e-05,0.04708317872519891,0.02642161167817264,0.012208071037031632,0.023177787765365863,0.0009440341317123458,0.00644220244640121,-0.0009402868043337273
XOM,0.0009358907001962264,0.0007949311135416207,0.009629772241881948,0.013695077259412372,0.010938167130195684,0.01326739272111509,0.02423218864755573,0.022308415916352776,-0.006658251138504622,0.011737215203637415,0.0031435776985242023,0.010281089445793362,-0.003119905749116078,0.010197595852603929,0.004107658122283896,-8.582356262643782e-05,0.0038406437781154613,-0.0012973864012304815
CVX,0.006091951259332928,0.009731036861069903,0.013073530674670346,0.027293390724827633,0.017762903873558465,0.022061354462106688,0.022308415916352776,0.04054513678457771,0.004602977213264828,0.021082510828148326,0.004109529282124437,0.02215238319140896,0.0002973513719661471,0.018163674604542688,0.0030414289388940494,0.00169963945430552,0.0074901858758231335,-0.0024092674252889253
AMZN,0.026682390432094426,0.04787205141921137,-0.0059713238301509096,-0.03787416895515473,0.0320211165869722,0.04192648040636644,-0.006658251138504622,0.004602977213264828,0.08276094938359817,0.01809225434365696,-0.000741489751543289,0.026428774435642243,0.030462605841599974,0.00256133051493506,0.05145034781570769,0.005495534880871017,0.011159854491851074,-0.0034023040309963857
HD,0.013433933820534372,0.014758044554141165,0.014799485546579684,0.007150059939206498,0.01747539859366346,0.024473112236803356,0.011737215203637415,0.021082510828148326,0.01809225434365696,0.047215960466493546,0.008841335179409,0.025541710516739466,0.009369928073834554,0.028759194470619382,0.014157693675566888,0.01563467144854707,0.010449774167047841,-0.007142987083159492
PG,0.004036448385674165,0.005164182154913799,0.006633543086839989,0.0013999555223355945,0.002703329439244171,-4.3104471723679574e-05,0.0031435776985242023,0.004109529282124437,-0.000741489751543289,0.008841335179409,0.02041958541865934,-0.00334171014247641,0.008851134816832381,0.010029628805642383,0.002458698103021136,0.0043197339984654285,0.0034816862774220535,-0.0016734318951603894
CAT,0.01114216561239856,0.01991736252199044,0.009692501535578045,0.018034880125069753,0.03808823770773212,0.04708317872519891,0.010281089445793362,0.02215238319140896,0.026428774435642243,0.025541710516739466,-0.00334171014247641,0.052544487513542036,0.017728101417090594,0.009004548215595992,0.009274941271327997,0.005751614231161956,0.006126857768877998,-0.003051560882769827
HON,0.014702915855589601,0.018897504709099837,-0.0023727800656139267,-0.00297650630514986,0.02387466233760012,0.02642161167817264,-0.003119905749116078,0.0002973513719661471,0.030462605841599974,0.009369928073834554,0.008851134816832381,0.017728101417090594,0.04750539655968027,0.0014020473632556925,0.01298916293962199,0.003921408392284645,0.009702104669152865,-0.00239841060053809
NEE,0.009446028173069705,0.0031583542763392266,0.012928830296237006,0.011175473791950778,0.009160236110257588,0.012208071037031632,0.010197595852603929,0.018163674604542688,0.00256133051493506,0.028759194470619382,0.010029628805642383,0.009004548215595992,0.0014020473632556925,0.043394044206124895,0.00016011742819530448,0.012311160803194216,0.008684189893269939,-0.0071431235129181874
META,0.018395034350222838,0.03418006628297344,-0.00320406120455958,-0.025699609522410925,0.01067057156938658,0.023177787765365863,0.004107658122283896,0.0030414289388940494,0.05145034781570769,0.014157693675566888,0.002458698103021136,0.009274941271327997,0.01298916293962199,0.00016011742819530448,0.07008882032644682,0.0025450850614634553,0.010532965212232551,-0.0008241986391613911
TLT,0.004121304947171297,0.005453687430552951,0.002995688033704794,0.0018854182233913632,-6.876112261247852e-05,0.0009440341317123458,-8.582356262643782e-05,0.00169963945430552,0.005495534880871017,0.01563467144854707,0.0043197339984654285,0.005751614231161956,0.003921408392284645,0.012311160803194216,0.0025450850614634553,0.01957892101552059,0.004753322672749574,-0.005180959238154812
GLD,0.010424839306649905,0.011043461232440727,0.0009674604578941912,-0.004852908338942033,0.004276431488420074,0.00644220244640121,0.0038406437781154613,0.0074901858758231335,0.011159854491851074,0.010449774167047841,0.0034816862774220535,0.006126857768877998,0.009702104669152865,0.008684189893269939,0.010532965212232551,0.004753322672749574,0.023628594893344967,-0.003899391046602268
UUP,-0.003149535807519385,-0.0024706000080379773,-0.0018439587318827741,0.0018004134560979704,-0.0010156021367417104,-0.0009402868043337273,-0.0012973864012304815,-0.0024092674252889253,-0.0034023040309963857,-0.007142987083159492,-0.0016734318951603894,-0.003051560882769827,-0.00239841060053809,-0.0071431235129181874,-0.0008241986391613911,-0.005180959238154812,-0.003899391046602268,0.0044565007872188695
