,AAPL,MSFT,JNJ,UNH,JPM,GS,XOM,CVX,AMZN,HD,PG,CAT,HON,NEE,META,TLT,GLD,UUP
AAPL,0.05105431618983909,0.021617630005572118,-0.0019348797809296474,-0.0034508631464251318,0.0005523430641673696,0.007238395340185537,-0.0015200088469703062,0.0016151650649175204,0.02194325250265093,0.009613127130355715,-0.0009897487493340767,0.010918078170010982,0.007955552485070452,0.0010774454409542662,0.019555649553087973,0.0035145680948757132,0.004327505205171626,-0.0027625703977701647
MSFT,0.021617630005572118,0.04026900766003432,-0.00270922214067338,-0.006396298854332777,0.007353835828374169,0.013584573296225273,-0.004147365863058924,0.002430516555955796,0.038861281671269676,0.008888862563797128,-0.0003357363258540329,0.016906862566203114,0.009592458002571986,-0.00025145863258823194,0.04181520253752646,-0.00039136719117188225,0.005024868185162469,-0.0003933049385306773
JNJ,-0.0019348797809296474,-0.00270922214067338,0.02275748349952098,0.008294038079794943,0.007113456379801778,0.004887743169448297,0.0049116176340991335,0.004895547042225883,-0.006335189641402558,0.005813719526221967,0.0068865481987528485,0.0016836806357819084,0.004018713175782862,0.009492494844144304,-0.008585923835114913,0.004738894705764815,0.0006953356065243115,-0.0009564662164932595
UNH,-0.0034508631464251318,-0.006396298854332777,0.008294038079794943,0.0753083567633397,0.005766502254288568,0.009739230550430633,0.0058758757591624786,0.010394165121149077,-0.010097377223414524,0.007266034536855905,0.0045687314495110164,0.006820645941476765,0.007051655573452823,0.004434783456670169,-0.014025350959014617,0.0028457496963499407,-0.00021893022199031311,-0.0002823813293551734
JPM,0.0005523430641673696,0.007353835828374169,0.007113456379801778,0.005766502254288568,0.05436631029907833,0.045697472413051644,0.013843674566300222,0.01747406385012377,0.01565718305369114,0.007904582135525619,-0.002541823626758062,0.02952786689086494,0.01524905444755101,0.0004446518610798961,0.006118883713045425,-0.006005671406326332,0.00011401306226548825,0.0010590415464687135
GS,0.007238395340185537,0.013584573296225273,0.004887743169448297,0.009739230550430633,0.045697472413051644,0.06459818354072586,0.013497005780159022,0.01689372074439659,0.0223463601141189,0.015331610193394742,-0.0049123824848958135,0.04007735595253327,0.01616485884857445,0.001902401432947455,0.013242844449062912,-0.003341412776377513,0.0031458713788648147,6.16003688049384e-05
XOM,-0.0015200088469703062,-0.004147365863058924,0.0049116176340991335,0.0058758757591624786,0.013843674566300222,0.013497005780159022,0.03705497271768399,0.02674274989160054,-0.004728550227532637,0.005026915469538133,-8.332059503823976e-05,0.016687391684457285,0.0015705480729763712,0.011079234688709659,-0.0012793233612113616,-0.002105166421554417,0.0059073419985503665,-0.0003070584265250277
CVX,0.0016151650649175204,0.002430516555955796,0.004895547042225883,0.010394165121149077,0.01747406385012377,0.01689372074439659,0.02674274989160054,0.03712235821828403,0.00899976620481574,0.008074026875800965,-0.0022401976490706056,0.020621362530556766,0.003403851583251071,0.007339783466210746,0.0022209920675259867,-0.003814243871913807,0.0037428310321443855,0.0001898998005224118
AMZN,0.02194325250265093,0.038861281671269676,-0.006335189641402558,-0.010097377223414524,0.01565718305369114,0.0223463601141189,-0.004728550227532637,0.00899976620481574,0.07895716669004517,0.010865573248133593,-0.005299066896098692,0.02823079588026985,0.01176302654671399,-0.0006944768704190497,0.05807618514560845,-0.004917251969396983,0.006353146744652204,0.0007324468853268809
HD,0.009613127130355715,0.008888862563797128,0.005813719526221967,0.007266034536855905,0.007904582135525619,0.015331610193394742,0.005026915469538133,0.008074026875800965,0.010865573248133593,0.04206714447100543,0.005649163135206035,0.019503261161571764,0.009594821382091577,0.014943499245976249,0.007708969625978457,0.009830103548088099,0.00694279833376188,-0.004260529442523017
