ticker,total_rows,missing_count,missing_pct,outlier_count,outlier_pct,zero_return_count
AAPL,2011,0,0.0,34,1.691,5
MSFT,2011,0,0.0,28,1.392,10
JNJ,2011,0,0.0,31,1.542,7
UNH,2011,0,0.0,33,1.641,4
JPM,2011,0,0.0,25,1.243,6
GS,2011,0,0.0,23,1.144,2
XOM,2011,0,0.0,17,0.845,5
CVX,2011,0,0.0,27,1.343,2
AMZN,2011,0,0.0,24,1.193,4
HD,2011,0,0.0,32,1.591,2
PG,2011,0,0.0,36,1.79,9
CAT,2011,0,0.0,26,1.293,1
HON,2011,0,0.0,28,1.392,6
NEE,2011,0,0.0,34,1.691,6
META,2011,0,0.0,31,1.542,5
TLT,2011,0,0.0,13,0.646,8
GLD,2011,0,0.0,18,0.895,8
UUP,2011,0,0.0,11,0.547,84
