date,AAPL,MSFT,JNJ,UNH,JPM,GS,XOM,CVX,AMZN,HD,PG,CAT,HON,NEE,META,TLT,GLD,UUP
2017-01-03,26.7450979677,56.1661491763,89.8513883562,138.8831134021,67.8510991954,198.8959776209,60.278028528,79.456292661,37.6835,107.3437209762,65.5460590671,76.4706647973,86.7548631803,23.5141076893,115.9589165592,92.4978586952,110.47,22.3048678118
2017-01-04,26.7151637212,55.9148464954,89.7040147047,139.2788162956,67.9755538082,200.1803992175,59.6148309427,79.436066197,37.859,108.2947970536,65.7795960946,76.1289510063,86.9938161517,23.5834299407,117.7748058053,92.8535007463,110.86,22.1377901503
2017-01-05,26.8510191478,55.9148464954,90.6425521694,139.5110766897,67.3498439583,198.6901408266,58.7261461784,79.0922163094,39.0225,107.0160393024,66.2155318794,75.6651965756,87.187965441,23.5695654904,119.7395384323,94.3069943467,112.58,21.9038814242
2017-01-06,27.1503616132,56.3995016656,90.2081877229,139.7089281365,67.3576653315,201.6377237213,58.6929862992,78.7753350404,39.7995,106.7203265725,66.1921781767,75.6977407462,88.509674064,23.500243239,122.4584108555,93.4410832656,111.75,22.0626052026
2017-01-09,27.3990461229,56.2199997507,90.192674707,139.3132252429,67.4045935702,199.982795895,57.7247178246,78.1011195745,39.846,107.3437209762,65.7017504188,75.1526258892,87.7778805891,23.4408241663,123.9369217717,94.1910241126,112.67,22.0041280211
2017-01-10,27.4266777351,56.2020495592,90.0995966113,138.9949424807,67.6001278983,199.7193247982,56.9885685049,77.5078099644,39.795,108.7743312103,64.9933547685,76.340488115,88.0018989998,23.4863787887,123.3911627087,94.1291733211,113.15,22.0124819042
2017-01-11,27.5740463335,56.7136300167,88.9904159712,139.261611822,68.1085171512,202.3458022938,57.57218238,78.1617989664,39.951,108.4546417725,65.1957535258,77.0076436117,88.1213754855,23.6507715564,125.1177459263,94.4461586276,113.5,21.9623586057
2017-01-12,27.458914616,56.1930744635,88.9050943835,139.6659169524,67.4515218089,200.7649757134,57.2604795149,78.3168685236,40.682,107.951130908,65.265814634,76.4706647973,87.837618832,23.6685972782,125.6436592052,94.2374122062,113.91,21.878819775
2017-01-13,27.4105592947,56.2738503252,88.8895813675,139.1841916907,67.8113049726,201.143715415,57.2671114908,78.4651959261,40.857,107.9271542002,65.398152283,76.8693308867,88.1661791676,23.5794686692,127.3503966388,93.7889939678,114.21,21.8537581257
2017-01-17,27.6316121922,56.1212736975,89.0990070828,138.2035366936,65.347572439,194.0958635772,57.9369410519,78.3977743795,40.486,108.6384631993,66.3323003932,76.1289510063,87.5389276177,23.8112030526,126.8840207122,94.770875283,115.85,21.6532649319
