ticker,mean_daily,std_daily,skewness,excess_kurtosis,min_return,max_return,JB_stat,JB_pvalue,is_normal
AAPL,0.00111,0.018425,-0.2097,5.732,-0.137708,0.113157,2767.826,0.0,False
MSFT,0.000997,0.017343,-0.2615,7.9057,-0.159453,0.132929,5259.86,0.0,False
JNJ,0.000219,0.011828,-0.4171,10.0786,-0.105781,0.07694,8569.713,0.0,False
UNH,0.000627,0.017054,-0.5073,14.4335,-0.189671,0.120437,17542.161,0.0,False
JPM,0.000612,0.017771,-0.024,14.3557,-0.162106,0.16562,17268.51,0.0,False
GS,0.000513,0.01874,-0.0565,10.2254,-0.135881,0.161951,8762.192,0.0,False
XOM,0.000267,0.018442,-0.1698,6.3525,-0.130391,0.119442,3391.015,0.0,False
CVX,0.000271,0.019355,-1.0924,28.7608,-0.250062,0.204904,69710.899,0.0,False
AMZN,0.000876,0.020793,-0.0798,4.9253,-0.151398,0.126949,2034.821,0.0,False
HD,0.000624,0.016186,-1.4944,23.6659,-0.22057,0.12884,47678.272,0.0,False
PG,0.00045,0.01209,-0.0058,12.21,-0.091428,0.113409,12491.949,0.0,False
CAT,0.000766,0.019303,-0.3707,4.8478,-0.154109,0.098324,2015.244,0.0,False
HON,0.000433,0.014896,-0.2497,12.2524,-0.128821,0.140356,12599.753,0.0,False
NEE,0.000536,0.016172,-0.5209,10.6313,-0.144067,0.128309,9561.473,0.0,False
META,0.000803,0.0253,-1.3992,26.5315,-0.306391,0.209307,59638.865,0.0,False
TLT,-5.6e-05,0.009797,0.0791,5.0314,-0.06901,0.072503,2123.298,0.0,False
GLD,0.00039,0.008729,-0.3009,3.0455,-0.05519,0.04739,807.501,0.0,False
UUP,0.000121,0.004327,0.0526,5.4083,-0.032595,0.037124,2451.846,0.0,False
