date,actual_loss,hs_var_95,param_var_95,mc_var_95,breach_hs_95,breach_param_95,breach_mc_95,cum_breach_rate_hs
2022-01-03,-0.0043425153898955,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-04,-0.0062995446263501,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-05,0.0084294624437412,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-06,0.0039234029454644,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-07,-0.0011046689732888,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-10,0.0042737652406102,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-11,-0.0081213945201335,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-12,-3.550444376608316e-05,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-13,0.0066880455037272,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-14,0.0043206393240453,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0
2022-01-18,0.0168885053951407,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,0,0,0.09090909090909091
2022-01-19,0.0035761956536602,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08333333333333333
2022-01-20,0.0059614885212124,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.07692307692307693
2022-01-21,0.0128978212260479,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.07142857142857142
2022-01-24,-0.0027684276271241,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.06666666666666667
2022-01-25,0.0070021555775245,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0625
2022-01-26,0.0036607475778059,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.058823529411764705
2022-01-27,-0.0027140574929354,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05555555555555555
2022-01-28,-0.0080814493105141,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05263157894736842
2022-01-31,-0.0144698920677014,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05
2022-02-01,-0.0078560511229671,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.047619047619047616
2022-02-02,-0.0059163439507796,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.045454545454545456
2022-02-03,0.0345388435504845,0.01507316961261525,0.019072880218185206,0.019184750794552747,1,1,1,0.08695652173913043
2022-02-04,-0.0083353467101975,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08333333333333333
2022-02-07,0.0019592449051107,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08
2022-02-08,-0.0032714541304398,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.07692307692307693
2022-02-09,-0.0087701935445259,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.07407407407407407
2022-02-10,0.0143831557449714,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.07142857142857142
2022-02-11,0.0087886862219385,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.06896551724137931
2022-02-14,0.0039157762533233,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.06666666666666667
2022-02-15,-0.0057444726395862,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.06451612903225806
2022-02-16,2.3382647200777523e-05,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0625
