ticker,weight,marginal_VaR_95,component_VaR_95,pct_contribution
CVX,5.56,3.24151,0.18008,9.04
GS,5.56,3.03787,0.16877,8.47
JPM,5.56,2.95183,0.16399,8.23
XOM,5.56,2.74769,0.15265,7.66
AAPL,5.56,2.64998,0.14722,7.39
HON,5.56,2.55146,0.14175,7.12
UNH,5.56,2.53754,0.14097,7.08
CAT,5.56,2.53001,0.14056,7.06
MSFT,5.56,2.51818,0.1399,7.02
HD,5.56,2.44519,0.13584,6.82
META,5.56,2.41675,0.13426,6.74
NEE,5.56,1.92853,0.10714,5.38
AMZN,5.56,1.7192,0.09551,4.8
PG,5.56,1.50855,0.08381,4.21
JNJ,5.56,1.48474,0.08249,4.14
GLD,5.56,0.18583,0.01032,0.52
UUP,5.56,0.02722,0.00151,0.08
TLT,5.56,-0.62973,-0.03499,-1.76
