,port_return,ΔFFR,ΔCPI,Δ10Y,ΔIG_spread,IG_spread,HY_spread,INVERSION
2017-02-28,0.0414477297794572,0.010000000000000009,0.15926573570097524,-0.0900000000000003,-0.07000000000000006,1.21,3.74,0
2017-03-31,-0.0011280717383,0.13,-0.04672016261895173,0.040000000000000036,0.030000000000000027,1.24,3.92,0
2017-04-30,0.0233745873230561,0.10999999999999999,0.12341528217407749,-0.10999999999999988,-0.010000000000000009,1.23,3.81,0
2017-05-31,0.0113172892014023,0.010000000000000009,-0.07739779600562935,-0.08000000000000007,-0.040000000000000036,1.19,3.74,0
2017-06-30,0.0079044429316303,0.13,0.0651628661825221,0.10000000000000009,-0.040000000000000036,1.15,3.77,0
2017-07-31,0.0264595185586714,0.10999999999999988,0.03276499715354486,-0.010000000000000231,-0.05999999999999983,1.09,3.61,0
2017-08-31,0.0179122274799403,0.010000000000000009,0.38486261632881824,-0.17999999999999972,0.06999999999999984,1.16,3.85,0
2017-09-30,0.0135692716100577,-0.010000000000000009,0.5106389920997767,0.20999999999999996,-0.08999999999999986,1.07,3.56,0
2017-10-31,0.0442459897825013,0.0,0.07750522450138408,0.04999999999999982,-0.06000000000000005,1.01,3.51,0
2017-11-30,0.0315898187831911,0.010000000000000009,0.2668007428251684,0.040000000000000036,0.020000000000000018,1.03,3.61,0
2017-12-31,0.0146937372563887,0.14000000000000012,0.21068892447551058,-0.020000000000000018,-0.040000000000000036,0.99,3.63,0
2018-01-31,0.0396680113286294,0.10999999999999988,0.42533443635115464,0.3200000000000003,-0.07999999999999996,0.91,3.29,0
2018-02-28,-0.0349512089103877,0.010000000000000009,0.26922876006090224,0.1499999999999999,0.09999999999999998,1.01,3.47,0
2018-03-31,-0.0207728648439588,0.09000000000000008,0.0192362410782021,-0.1299999999999999,0.15999999999999992,1.17,3.72,0
2018-04-30,0.0154571223193562,0.17999999999999994,0.2604406656061986,0.20999999999999996,-0.030000000000000027,1.14,3.46,0
2018-05-31,0.0261606067801167,0.010000000000000009,0.2257949781598212,-0.1200000000000001,0.08000000000000007,1.22,3.63,0
2018-06-30,0.0019794132571478,0.1200000000000001,0.09011451720948305,0.020000000000000018,0.08000000000000007,1.3,3.71,0
2018-07-31,0.029552157370514,0.08999999999999986,0.07808204989283585,0.10999999999999988,-0.14000000000000012,1.16,3.46,0
2018-08-31,0.0264401771490077,0.0,0.17873207703393845,-0.10000000000000009,0.050000000000000044,1.21,3.49,0
2018-09-30,0.0063282367970831,0.040000000000000036,0.2062281702117419,0.18999999999999995,-0.08000000000000007,1.13,3.28,0
2018-10-31,-0.0486616006840616,0.24,0.2339580144498754,0.10000000000000009,0.1200000000000001,1.25,3.81,0
2018-11-30,0.0140982443768813,0.010000000000000231,-0.07041919199911595,-0.14000000000000012,0.19999999999999996,1.45,4.29,0
2018-12-31,-0.0705647410443261,0.06999999999999984,0.06848935445813442,-0.31999999999999984,0.14000000000000012,1.59,5.33,0
2019-01-31,0.0736352046026407,0.1299999999999999,-0.08149798035343991,-0.06000000000000005,-0.2100000000000002,1.38,4.37,0
2019-02-28,0.0172472796026902,0.0,0.3001255142321968,0.10000000000000009,-0.08999999999999986,1.29,3.92,0
2019-03-31,0.0287411132027859,0.010000000000000231,0.37817929172307974,-0.31999999999999984,-0.020000000000000018,1.27,4.05,0
2019-04-30,0.0421643507693408,0.009999999999999787,0.3759679404743643,0.09999999999999964,-0.10000000000000009,1.17,3.73,0
2019-05-31,-0.049070585265856,-0.029999999999999805,0.02468332856644384,-0.36999999999999966,0.18000000000000016,1.35,4.59,0
2019-06-30,0.0707774890117683,-0.010000000000000231,-0.03251128102280676,-0.14000000000000012,-0.13000000000000012,1.22,4.07,0
2019-07-31,0.0131756087679645,0.020000000000000018,0.23078761661827762,0.020000000000000018,-0.08000000000000007,1.14,3.93,0
2019-08-31,-0.0098337094475275,-0.27,0.09147700174354512,-0.52,0.1200000000000001,1.26,4.13,0
2019-09-30,0.0135672429111392,-0.08999999999999986,0.1538846099767177,0.17999999999999994,-0.040000000000000036,1.22,4.02,0
2019-10-31,0.0343509270373329,-0.20999999999999996,0.2827282299262768,0.010000000000000009,-0.050000000000000044,1.17,4.15,0
2019-11-30,0.0259726616576556,-0.28,0.281542260504386,0.09000000000000008,-0.05999999999999983,1.11,4.02,0
2019-12-31,0.0281144793063334,0.0,0.29122185210892493,0.1399999999999999,-0.10000000000000009,1.01,3.6,0
2020-01-31,0.0046898751134702,0.0,0.19216641534238743,-0.4099999999999999,0.08000000000000007,1.09,4.03,0
2020-02-29,-0.0671046802313087,0.030000000000000027,0.04746707213065804,-0.3800000000000001,0.20999999999999996,1.3,5.06,0
2020-03-31,-0.0866284385607968,-0.93,-0.4528447444551498,-0.42999999999999994,1.7499999999999998,3.05,8.77,0
2020-04-30,0.1240109155623763,-0.6,-0.7920147553434065,-0.05999999999999994,-0.8799999999999999,2.17,7.63,0
2020-05-31,0.0349173594688734,0.0,-0.08983252093487382,0.010000000000000009,-0.2999999999999998,1.87,6.54,0
2020-06-30,0.0165301252044132,0.03,0.4847499237691677,0.010000000000000009,-0.27,1.6,6.44,0
2020-07-31,0.0531532210942576,0.009999999999999995,0.5096443382793581,-0.10999999999999999,-0.19000000000000017,1.41,5.16,0
2020-08-31,0.0534916988606366,0.010000000000000009,0.3731343283582156,0.16999999999999993,-0.04999999999999982,1.36,5.02,0
2020-09-30,-0.0404481175309878,-0.010000000000000009,0.2626139536318739,-0.030000000000000027,0.07999999999999985,1.44,5.41,0
