ticker,normal_spread_bps,stress_spread_bps,normal_exit_cost,stress_exit_cost
AAPL,18.45,55.35,512.54,1537.63
MSFT,44.07,132.22,1224.3,3672.89
JNJ,17.23,51.69,478.66,1435.97
UNH,101.35,304.05,2815.31,8445.92
JPM,153.68,461.03,4268.77,12806.3
GS,90.58,271.75,2516.24,7548.73
XOM,0.0,0.0,0.0,0.0
CVX,4.05,12.16,112.62,337.85
AMZN,70.65,211.95,1962.49,5887.47
HD,38.48,115.45,1069.0,3207.01
PG,3.66,10.99,101.8,305.39
CAT,92.81,278.44,2578.17,7734.5
HON,0.0,0.0,0.0,0.0
NEE,80.64,241.91,2239.9,6719.7
META,69.38,208.15,1927.32,5781.95
TLT,20.77,62.32,577.08,1731.25
GLD,23.75,71.25,659.75,1979.25
UUP,31.22,93.65,867.16,2601.49
